Alphabet,Original,Compressed
a,01100001,1011
b,01100010,01100010
c,01100011,01100011
d,01100100,01100100
e,01100101,1001
f,01100110,01100110
g,01100111,01100111
h,01101000,01101000
i,01101001,1101
j,01101010,01101010
k,01101011,01101011
l,01101100,01101100
m,01101101,01101101
n,01101110,1111
o,01101111,1100
p,01110000,01110000
q,01110001,01110001
r,01110010,01110010
s,01110011,01110011
t,01110100,1010
u,01110101,01110101
v,01110110,01110110
w,01110111,01110111
x,01111000,01111000
y,01111001,01111001
z,01111010,01111010
A,01000001,01000001
B,01000010,01000010
C,01000011,01000011
D,01000100,01000100
E,01000101,01000101
F,01000110,01000110
G,01000111,01000111
H,01001000,01001000
I,01001001,01001001
J,01001010,01001010
K,01001011,01001011
L,01001100,01001100
M,01001101,01001101
N,01001110,01001110
O,01001111,01001111
P,01010000,01010000
Q,01010001,01010001
R,01010010,01010010
S,01010011,01010011
T,01010100,01010100
U,01010101,01010101
V,01010110,01010110
W,01010111,01010111
X,01011000,01011000
Y,01011001,01011001
Z,01011010,01011010
 ,00010000,1000
",",00101100,01011011
-,00101101,01011111
.,00101101,01100000
',00100111,01100001
"""",00100010,01101001
"
",00001101,01111111
!,00100001,00100001
"#",null,01100101